date,speaker,title
" Date: Wednesday, 29 January 2024","Speaker: Dr. Lorenzo Palladini, Stockholm School of Economics","How ‘Free’ is Free Speech in Academia? Effects on Researchers and their Research

"
" Date: Wednesday, 11 December 2024","Speaker: Florian Guitton, Imperial College London","Honest Computing

"
" Date: Wednesday, 13 November 2024","Speaker: Giulia Cencetti, CNRS","Generating surrogate temporal networks from mesoscale building blocks

"
" Date: Wednesday, 30 October 2024","Speaker: Jun Otsuka, Kyoto University","What does it mean to understand AI?

"
" Date: Wednesday, 16 October 2024","Speaker: Dr. Eleunthia Wong Ellinger, Stockholm School of Economics","Industrial Firm Becomes Digital and then Cognitive Enterprise

"
" Date: Wednesday, 12 June 2024","Speaker: Prof. Andreas Jungherr, University of Bamberg","AI and Democracy
"
" Date: Wednesday, 29 May 2024","Speaker: Prof. Gloria Gennaro, University College London","Emotion and reason in political language
"
" Date: Wednesday, 15 May 2024","Speaker: Dr. Duilio Balsamo, Bocconi University","The Opioid Epidemic Through the Lens of Reddit
"
" Date: Wednesday, 1 May 2024","Speaker: Dr. Marie Oldfield, LSE","AI Accreditation and how this is impacting regulation, practice and standards
"
" Date: Wednesday, 17 April 2024","Speaker: Dr. Philine Widmer, ETH Zurich","Is Propaganda Front-Page News?
"
" Date: Wednesday, 3 April 2024","Speaker: Dr. Stephen Law, University College London","Distilling knowledge from diverse image data for urban planning and design
"
" Date: Wednesday, 20 March 2024","Speaker: Christopher Klamm, University of Mannheim","Investigating Populist Rhetoric in Text: A Natural Language Processing Approach using (Large) Language Models
"
" Date: Wednesday, 6 March 2024","Speaker: Prof. Luca Maria Aiello, ITU Copenhagen","The Language of Coordination, from Humans to AI Agents"
" Date: Wednesday, 21 February 2024","Speaker: Ashrakat Elshehawy, Stanford's King Center on Global Development",Digital Politics and Foreign Interventions: A Natural Language Processing Approach
" Date: Wednesday, 07 February 2024","Speaker: Prof. Tiago Ventura, Georgetown University",Misinformation exposure beyond traditional feeds: Evidence from a WhatsApp deactivation experiment in Brazil
" Date: Wednesday, 22 November 2023","Speaker: Dr. Divya Srivastava, LSE",Promoting the systematic use of real-world data and real-world evidence for digital health technologies across Europe: A consensus framework
" Date: Wednesday, 18 October 2023","Speaker: Prof. Elisa Omodei, CEU",Data science for the Sustainable Development Goals: the case of food security
" Date: Wednesday, 27 September 2023",Speaker: Moritz Pfeifer & Vincent Philipp Marohl,CentralBankRoBERTa: A Fine-Tuned Large Language Model for Central Bank Communications
" Date: Wednesday, 13 September 2023",Speaker: Dr. Max Falkenberg,"The Evolution of the Climate Discourse on Twitter: Polarization, Hypocrisy, and the Musk Takeover"
" Date: Wednesday, 31 May 2023",Speaker: Dr. Eleonora Bertoni,The Handbook of Computational Social Science for Policy
" Date: Wednesday, 03 May 2023",Speaker: Prof. Giacomo Calzolari,"Artificial Intelligence, Algorithmic Recommendations and Competition"
" Date: Wednesday, 19 April 2023",Speaker: Prof. Pablo Barberá,Exploring A New Model of Industry/Academic Collaboration: the U.S. 2020 Facebook and Instagram Election Study
" Date: Wednesday, 22 March 2023",Speaker: Prof. Bryce Jensen Dietrich,Using Multimodal Neural Networks to Better Understand How Voters Process Audiovisual Information
" Date: Wednesday, 08 March 2023",Speaker: Dr. Erica Thompson,"Models, mathematics, and data science: how to make sure we're answering the right questions"
Full day event ,Speaker: Prof. Aniko Hannak,CIVICA Conference on European Polarisation
" Date: Wednesday, 15 February 2023",Speaker: Pica Johnsson,New Faces of Bias in Online Platforms
" Date: Wednesday, 08 February 2023",Speaker: Prof. Lisa Singh,Introducing the Online Harms Observatory: AI powered mapping of online abuse in real-time
" Date: Wednesday, 11 January 2023",Speaker: Dr. Marco Meyer,Using Open Source Data Streams and Surveys to Improve Our Understanding of Elections
" Date: Wednesday, 02 November 2022",Speaker: Prof. Anne Beaulieu,Does Epistemic Vice Explain Corporate Misconduct?
" Date: Wednesday, 19 October 2022",Speaker: Dr. Michelle Reddy & Dr. Hélène Thiollet,Becoming a data scientist: what it means to put data to work
" Date: Wednesday, 14 September 2022",Speaker: Prof. Stephanie Lackner,The Making of a French Migration Crisis
" Date: Wednesday, 15 June 2022",Speaker: Dr. Omar A. Guerrero,A New Approach to Visualizing Spatial Exposure Data for Comparing Earthquakes
" Date: Wednesday, 01 June 2022",Speaker: Prof. David Chavalarias,Modeling Sustainable Development from the Bottom Up
" Date: Wednesday, 04 May 2022",Speaker: Prof. Laszlo Barabasi,Internet Communities and the French Presidential Election
" Date: Wednesday, 20 April 2022",Speaker: Prof. Arthur Spirling,The Science of Success: Quantifying Outcomes in Social System
" Date: Wednesday, 09 March 2022",Speaker: Dr. Alexandra Scacco,Embedding Regression: Models for Context-Specific Description and Inference
"Date: Wednesday, 23 February 2022",Speaker: Prof. Margaret Roberts,Information and Irregular Migration: Evidence from a Field Experiment in Nigeria
" Date: Wednesday, 09 February 2022",Speaker: Prof. Lauren Klein,Adjusting for Confounding with Text Matching
"Date: Wednesday, 26 January 2022",Speaker: Prof. Cesar A. Hidalgo,What is Data Feminist?
"Date: Wednesday, 12 January 2022",Speaker: Prof. Christopher Lucas,The Principles of Collective Learning
" Date: Wednesday, 1 December 2021",Speaker: Prof. Camille Roth,More Than Words: How Political Rhetoric Shapes Voters' Affect and Evluation
" Date: Wednesday, 3 November 2021",Speaker: Prof. Michelle Torrest,Serendipity or Confinement? Deconstructing Algorithmic Recommendation
"Date: Wednesday, 20 October 2021",Speaker: Prof. Macartan Humphreys,Framing a Protest: Determinants and Effects of Visual Frames
"Date: Wednesday, 06 October 2021",Speaker: Dr. Laura Bronner,Understanding Beautiful Places with AI
"Date: Wednesday, 08 September 2021",Speaker: Dr. Melissa Sands,Incentives and Covid-19 Vaccination Uptake
"Date: Wednesday, 02 June 2021",Speaker: Dr. Preslav Nakov,The Art of Quantitative Editing
"Date: Wednesday, 05 May 2021",Speaker: John Burn-Murdoch,Breaking the Social Media Prism
"Date: Wednesday, 21 April 2021",Speaker: Roman Rivera,Using Public Video Cameras to Detect Racial Distancing on City Streets
